applicant_id,race,gender,income,credit_score,debt_to_income,employment_length,loan_amount,zip_code,approved
1,White,Male,30264,643,0.389,1.0,47000,90639,1
2,Asian,Male,73158,700,0.403,1.3,115000,94088,1
3,Black,Male,80505,622,0.446,0.4,135000,91965,0
4,White,Female,20000,719,0.384,3.5,65000,90578,0
5,White,Male,136951,720,0.374,2.9,258000,90877,1
6,White,Female,38574,550,0.251,12.4,58000,94204,0
7,White,Male,27309,808,0.294,0.2,67000,90002,1
8,Hispanic,Female,53835,652,0.475,2.0,150000,92502,0
9,Black,Female,23906,619,0.168,8.7,32000,94703,0
10,Black,Female,29755,735,0.305,35.6,75000,91491,1
11,White,Female,32692,628,0.319,6.8,77000,94141,0
12,Asian,Female,26801,752,0.191,11.9,47000,93839,0
13,Hispanic,Female,52755,651,0.386,0.0,113000,92747,0
14,White,Male,41283,627,0.287,8.0,58000,90846,0
15,White,Male,20702,767,0.271,3.1,47000,94472,1
16,White,Male,68229,755,0.49,7.0,145000,94201,1
17,White,Male,23781,729,0.308,2.9,52000,90063,0
18,White,Male,24539,702,0.521,4.3,37000,90781,0
19,White,Male,100264,758,0.512,2.0,295000,90012,1
20,White,Male,23913,622,0.229,4.3,31000,90796,0
21,Black,Male,20000,651,0.402,0.1,33000,94033,0
22,White,Male,71233,665,0.233,2.0,158000,94100,1
23,White,Female,34723,620,0.31,2.1,43000,90419,0
24,White,Male,43019,715,0.301,1.2,133000,90218,1
25,White,Female,34502,747,0.465,1.3,81000,90225,0
26,Hispanic,Male,46191,657,0.557,14.4,94000,92676,0
27,White,Female,26525,674,0.395,3.1,68000,94952,0
28,White,Female,101027,672,0.349,6.4,242000,90881,0
29,White,Female,20000,681,0.435,4.2,33000,90333,0
30,White,Female,54415,739,0.514,1.8,171000,90968,0
31,Black,Male,54045,705,0.356,0.0,144000,91633,1
32,White,Female,26415,712,0.448,0.6,72000,90333,0
33,White,Female,22544,651,0.402,9.0,34000,94184,0
34,Asian,Female,80545,694,0.371,0.7,165000,94519,0
35,Asian,Female,24143,733,0.37,1.2,54000,94602,0
36,Hispanic,Male,27932,706,0.223,12.4,73000,92705,0
37,White,Female,70959,702,0.436,10.0,199000,90940,1
38,White,Male,50053,677,0.352,0.3,95000,94867,0
39,Black,Female,20000,704,0.206,4.5,53000,94880,0
40,White,Male,139837,733,0.318,5.4,210000,90048,1
41,White,Female,30317,724,0.263,2.4,68000,90947,0
42,White,Male,38497,685,0.361,3.7,87000,90263,0
43,White,Male,57152,650,0.138,0.9,149000,90817,0
44,Asian,Female,63660,797,0.544,18.3,157000,93348,1
45,White,Female,135150,755,0.494,1.4,242000,90347,0
46,Black,Female,20000,610,0.601,0.0,45000,94737,0
47,White,Male,80464,647,0.371,2.9,163000,90733,1
48,White,Male,76558,650,0.17,1.5,194000,90777,0
49,White,Female,38375,673,0.286,2.0,74000,90900,0
50,White,Female,66825,805,0.539,0.2,148000,90424,1
51,Asian,Female,76637,695,0.286,5.9,152000,94771,0
52,Hispanic,Male,20000,733,0.373,1.0,53000,92214,0
53,Asian,Female,125007,746,0.402,25.4,233000,93574,1
54,Hispanic,Male,20000,602,0.408,0.0,31000,92162,0
55,White,Female,21084,658,0.514,0.4,29000,90450,0
56,Asian,Male,43989,641,0.548,1.1,86000,93629,0
57,White,Male,155587,718,0.464,6.1,358000,90566,1
58,White,Female,34631,645,0.441,7.3,81000,94381,0
59,White,Female,40876,598,0.347,4.5,52000,90544,0
60,White,Male,115756,813,0.249,13.8,407000,90767,1
61,White,Male,40937,704,0.444,4.9,67000,90283,1
62,White,Male,24171,649,0.221,0.8,49000,90170,0
63,Hispanic,Female,26600,676,0.303,0.5,71000,94675,0
64,White,Male,111577,693,0.43,3.1,294000,90361,1
65,White,Male,51150,566,0.345,14.3,61000,94245,0
66,White,Female,132703,850,0.533,4.5,483000,90296,1
67,White,Female,64876,717,0.3,12.3,122000,94323,0
68,Hispanic,Female,23205,633,0.415,0.0,47000,94926,0
69,White,Male,50546,602,0.314,6.5,86000,90594,0
70,Asian,Female,26221,620,0.413,3.2,47000,93596,0
71,Hispanic,Female,22878,745,0.338,0.1,38000,94367,0
72,White,Female,500000,850,0.549,1.3,1000000,94946,1
73,White,Female,76776,752,0.441,2.3,179000,94835,1
