applicant_id,race,gender,income,credit_score,debt_to_income,employment_length,loan_amount,zip_code,approved
2795,White,Male,48582,739,0.316,24.6,90000,94914,1
9996,Hispanic,Female,33778,612,0.456,1.3,67000,92413,0
2113,White,Male,60063,745,0.477,1.6,202000,94928,0
764,Black,Male,33589,668,0.325,0.0,63000,94139,1
1909,White,Male,65891,705,0.166,9.3,115000,94914,1
8330,White,Female,20000,742,0.234,0.5,63000,90733,1
8502,White,Male,24111,732,0.386,0.9,50000,94880,0
6189,White,Female,37509,651,0.269,0.3,72000,94052,0
2647,Asian,Male,284075,721,0.431,7.2,825000,93715,1
9430,Hispanic,Female,20000,752,0.419,0.0,60000,92454,0
5500,Black,Female,25517,581,0.378,7.4,39000,91309,0
1484,White,Female,61922,645,0.184,0.7,157000,90368,0
9696,White,Male,67596,697,0.522,2.5,104000,94570,1
3810,White,Male,30158,788,0.37,3.2,99000,94693,1
4197,White,Male,107186,766,0.202,4.9,317000,90271,1
4482,White,Female,57624,796,0.266,1.3,161000,90770,1
3341,Hispanic,Female,34817,637,0.65,0.0,49000,94073,0
6427,Asian,Male,28796,680,0.442,12.9,39000,93526,0
7332,Hispanic,Female,86601,688,0.315,11.1,229000,92667,1
5319,White,Female,20000,716,0.258,0.2,30000,90326,0
2131,White,Female,22435,715,0.49,2.2,65000,90621,0
9428,Hispanic,Male,35278,701,0.499,7.0,63000,92188,0
7360,Hispanic,Female,36640,702,0.302,0.0,112000,94414,0
7,White,Male,27309,808,0.294,0.2,67000,90002,1
7658,Black,Female,47240,682,0.37,3.0,97000,91987,0
4110,White,Male,74237,733,0.358,5.4,163000,90748,1
5073,White,Female,109163,800,0.394,6.5,341000,94248,1
105,Asian,Female,36956,710,0.422,7.8,67000,93808,0
1815,White,Male,30112,703,0.405,2.7,84000,90541,0
7469,Black,Female,20000,585,0.336,7.2,43000,94634,0
4268,White,Male,20000,687,0.489,16.3,34000,90025,0
7691,White,Male,97238,681,0.269,2.0,199000,94440,1
546,White,Male,44806,696,0.477,1.0,122000,90878,0
9728,White,Male,48656,677,0.344,8.4,68000,90026,1
5659,Asian,Male,89946,710,0.397,0.5,202000,93193,0
1434,Black,Male,34127,614,0.479,9.1,90000,94682,0
3842,White,Male,63150,650,0.507,10.1,96000,90964,0
8031,White,Male,49493,795,0.582,17.1,145000,90875,1
6889,White,Male,52074,688,0.416,12.3,152000,90064,1
9804,Black,Female,100745,706,0.381,0.7,183000,91619,0
6529,White,Male,20000,695,0.418,16.3,55000,90826,0
6451,Hispanic,Female,139977,665,0.332,4.0,252000,94174,0
4736,White,Male,139486,771,0.41,1.3,464000,90862,1
5333,White,Female,132263,670,0.554,3.5,324000,94468,0
4730,White,Female,64394,775,0.361,0.9,174000,90844,1
614,White,Male,20000,581,0.312,1.2,34000,90666,0
4044,Black,Male,63270,684,0.465,2.7,95000,94216,0
