applicant_id,race,gender,years_experience,interview_score,skills_match,previous_tenure,salary_requested,location_region,hired
1,White,Male,10.5,66,0.411,0.9,85000,Region_B,1
2,Asian,Male,1.7,97,0.312,1.1,60000,Region_A,0
3,Black,Male,2.7,56,0.1,0.5,59000,Region_B,0
4,Black,Female,6.0,37,0.1,0.5,56000,Region_A,0
5,White,Male,5.3,63,0.412,1.3,69000,Region_A,0
6,White,Female,9.4,75,0.305,2.1,97000,Region_C,0
7,White,Male,26.0,78,0.528,1.1,175000,Region_D,1
8,Hispanic,Female,0.7,45,0.15,0.5,45000,Region_B,0
9,Black,Female,6.8,40,0.397,0.5,66000,Region_B,0
10,Black,Female,1.4,30,0.391,0.5,35000,Region_B,0
11,White,Female,3.8,67,0.7,0.6,67000,Region_D,0
12,Asian,Female,0.2,52,0.288,5.5,41000,Region_A,0
13,Hispanic,Female,0.9,30,0.152,1.2,35000,Region_C,0
14,White,Male,3.1,77,0.569,9.5,76000,Region_C,1
15,White,Male,3.3,64,0.133,0.6,60000,Region_C,0
16,White,Male,18.4,90,0.807,1.4,172000,Region_A,1
17,White,Male,10.8,96,0.578,3.3,116000,Region_B,1
18,White,Male,28.7,86,0.393,2.3,213000,Region_A,1
19,White,Male,7.3,68,0.688,1.3,85000,Region_C,0
20,White,Male,2.2,83,0.628,4.2,73000,Region_B,1
21,Black,Male,2.5,44,0.321,0.5,54000,Region_B,0
22,White,Male,3.1,57,0.476,2.6,62000,Region_C,0
23,White,Female,2.8,41,0.312,4.9,51000,Region_B,0
24,White,Male,8.9,65,0.303,0.6,79000,Region_B,0
25,White,Female,5.3,47,0.593,1.3,68000,Region_D,0
26,Hispanic,Male,3.3,50,0.552,3.6,61000,Region_B,0
27,White,Female,1.1,52,0.28,1.6,41000,Region_D,0
28,White,Female,0.2,53,0.428,0.9,41000,Region_D,0
29,Black,Female,1.4,30,0.347,0.8,35000,Region_B,0
30,White,Female,0.8,49,0.137,0.8,45000,Region_D,0
31,Black,Male,9.6,30,0.778,2.8,58000,Region_B,0
32,White,Female,0.8,52,0.1,0.5,47000,Region_C,0
33,White,Female,9.1,74,0.734,0.8,108000,Region_C,1
34,Asian,Female,3.5,44,0.143,0.5,45000,Region_B,0
35,Asian,Female,0.5,64,0.282,0.5,43000,Region_B,0
36,Hispanic,Male,11.3,49,0.47,0.5,78000,Region_D,0
37,White,Female,6.1,66,0.503,2.5,83000,Region_A,0
38,White,Male,2.2,66,0.581,6.5,48000,Region_D,1
39,Black,Female,12.4,41,0.17,0.5,95000,Region_B,0
40,White,Male,0.4,63,0.237,0.5,47000,Region_A,0
41,White,Female,1.6,67,0.43,1.7,49000,Region_C,0
42,White,Male,11.2,78,0.1,0.7,100000,Region_B,0
43,White,Male,9.9,64,0.56,2.4,84000,Region_C,0
44,Asian,Female,2.5,61,0.445,1.6,52000,Region_D,0
45,White,Female,0.5,45,0.423,0.5,35000,Region_D,0
46,Black,Female,10.7,36,0.336,10.0,81000,Region_A,0
47,White,Male,3.0,60,0.644,0.5,54000,Region_A,0
48,White,Male,1.7,55,0.392,4.9,42000,Region_C,0
49,White,Female,5.1,58,0.563,1.2,72000,Region_B,0
50,White,Female,17.0,70,0.877,0.7,139000,Region_A,1
51,Asian,Female,0.3,70,0.182,0.5,42000,Region_A,0
52,Hispanic,Male,9.8,50,0.316,1.3,75000,Region_B,0
53,Asian,Female,6.1,41,0.602,1.2,57000,Region_D,0
54,Hispanic,Male,3.7,43,0.549,4.8,58000,Region_C,0
55,Black,Male,8.5,30,0.286,0.5,60000,Region_D,0
56,Asian,Male,27.6,100,0.516,6.6,250000,Region_B,1
57,White,Male,2.1,44,0.175,0.5,49000,Region_B,0
58,White,Female,1.1,39,0.231,4.4,40000,Region_B,0
59,White,Male,19.5,80,0.679,3.0,142000,Region_C,1
60,White,Male,8.8,90,0.706,5.3,122000,Region_D,1
61,White,Male,4.6,54,0.1,1.5,61000,Region_B,0
62,White,Male,6.8,69,0.285,0.5,74000,Region_B,0
63,Hispanic,Female,8.1,48,0.193,0.8,79000,Region_D,0
64,White,Male,11.9,93,0.353,1.1,144000,Region_B,0
65,White,Male,20.2,94,0.374,0.9,195000,Region_B,1
66,White,Female,3.9,67,0.535,5.7,65000,Region_A,1
67,White,Female,2.4,62,0.491,1.8,64000,Region_A,0
68,Hispanic,Female,6.0,30,0.125,4.2,46000,Region_A,0
69,White,Male,4.3,71,0.2,3.7,63000,Region_D,0
70,Asian,Female,6.5,75,0.549,0.5,78000,Region_A,0
71,Hispanic,Female,3.2,30,0.449,4.6,38000,Region_D,0
72,White,Female,1.2,44,0.601,3.2,41000,Region_B,0
73,White,Female,4.5,45,0.383,0.8,58000,Region_C,0
74,Hispanic,Male,7.9,62,0.1,0.5,77000,Region_B,0
75,Black,Female,8.8,31,0.229,0.5,54000,Region_D,0
76,Black,Male,4.2,34,0.248,0.5,49000,Region_B,0
77,Hispanic,Male,1.2,30,0.414,0.5,36000,Region_B,0
78,White,Male,4.3,66,0.578,0.5,75000,Region_B,1
79,White,Male,12.3,69,0.464,1.3,97000,Region_B,1
80,White,Female,3.7,57,0.191,6.2,57000,Region_D,0
81,Hispanic,Female,7.1,30,0.342,1.7,52000,Region_B,0
82,Black,Female,3.9,30,0.494,1.2,40000,Region_B,0
83,White,Female,1.9,46,0.223,0.6,43000,Region_D,0
84,White,Male,12.7,61,0.76,0.9,114000,Region_B,1
85,White,Male,0.7,46,0.499,1.0,37000,Region_C,0
86,White,Female,5.2,41,0.541,0.8,63000,Region_B,0
87,Black,Female,1.3,30,0.383,3.0,38000,Region_A,0
88,Black,Male,0.4,35,0.364,0.5,35000,Region_A,0
89,Hispanic,Female,4.1,39,0.298,2.2,47000,Region_D,0
90,White,Male,5.5,71,0.479,1.8,66000,Region_B,0
91,White,Male,9.8,64,0.436,3.5,82000,Region_A,0
92,Black,Male,8.5,56,0.711,4.6,86000,Region_B,1
93,Hispanic,Male,8.7,48,0.229,0.7,68000,Region_B,0
94,White,Female,3.7,59,0.21,1.9,56000,Region_A,0
95,Hispanic,Female,5.9,36,0.383,1.0,59000,Region_C,0
96,White,Male,6.9,74,0.583,1.3,89000,Region_C,1
97,White,Female,3.9,51,0.1,4.1,64000,Region_B,0
98,White,Female,6.4,61,0.772,0.5,71000,Region_C,1
99,White,Male,23.5,88,0.617,1.7,187000,Region_C,1
100,White,Male,1.7,73,0.102,3.9,50000,Region_C,0
101,White,Female,16.6,59,0.477,8.0,114000,Region_A,1
102,Black,Female,0.3,30,0.402,1.8,36000,Region_B,0
103,White,Female,2.6,41,0.386,1.0,41000,Region_A,0
104,White,Male,2.7,77,0.259,4.0,62000,Region_B,0
105,Asian,Female,7.1,64,0.926,0.5,88000,Region_C,1
106,White,Male,1.1,64,0.1,0.7,46000,Region_B,0
107,White,Male,17.1,68,0.708,0.5,120000,Region_B,1
108,Hispanic,Male,11.9,58,0.336,0.5,84000,Region_D,0
109,White,Male,8.4,59,0.411,2.7,93000,Region_C,0
110,White,Male,4.9,57,0.38,0.5,72000,Region_C,0
111,White,Male,21.6,82,0.902,5.1,159000,Region_A,1
112,White,Male,14.2,83,0.651,1.6,145000,Region_A,1
113,Asian,Female,5.0,70,0.657,0.5,83000,Region_C,0
114,Hispanic,Male,8.1,60,0.303,0.5,77000,Region_A,0
115,Black,Male,5.2,30,0.158,1.2,52000,Region_D,0
116,Hispanic,Male,6.0,50,0.356,0.8,60000,Region_D,0
117,Hispanic,Male,2.7,44,0.1,0.5,49000,Region_D,0
118,White,Female,4.4,36,0.857,1.7,48000,Region_C,0
119,Hispanic,Male,0.5,44,0.198,0.5,40000,Region_B,0
120,White,Female,3.1,50,0.241,5.4,55000,Region_D,0
121,Hispanic,Male,8.0,59,0.241,0.5,86000,Region_B,0
122,Hispanic,Male,20.6,68,0.551,0.6,170000,Region_B,0
123,White,Female,23.2,70,0.308,3.8,148000,Region_C,0
124,White,Female,5.7,67,0.288,0.7,70000,Region_D,0
125,White,Male,7.5,43,0.773,0.5,60000,Region_C,0
126,White,Female,1.4,50,0.229,0.5,44000,Region_C,0
127,Hispanic,Male,8.0,31,0.656,7.4,59000,Region_D,0
128,Hispanic,Female,0.4,30,0.1,2.5,35000,Region_A,0
129,White,Female,2.4,58,0.365,5.0,61000,Region_D,0
130,White,Female,7.8,43,0.57,0.5,73000,Region_B,0
131,White,Female,2.6,35,0.493,0.5,38000,Region_C,0
132,White,Male,0.4,90,0.548,1.6,55000,Region_D,0
133,White,Female,12.6,48,0.2,0.5,102000,Region_D,0
134,White,Male,3.0,85,0.1,0.7,63000,Region_B,0
135,Asian,Male,0.5,68,0.528,7.4,48000,Region_B,0
136,White,Male,0.6,56,0.286,0.9,48000,Region_A,0
137,White,Male,2.3,71,0.132,8.8,52000,Region_D,0
138,Black,Female,1.1,39,0.426,0.5,43000,Region_B,0
139,White,Female,10.5,48,0.154,1.6,74000,Region_B,0
140,Asian,Female,2.8,54,0.21,0.5,53000,Region_A,0
141,Asian,Male,13.3,95,0.595,3.2,159000,Region_D,1
142,White,Male,1.5,67,0.197,0.9,54000,Region_A,0
143,White,Female,4.8,68,0.281,1.8,79000,Region_D,0
144,White,Male,9.3,78,0.703,4.8,114000,Region_D,1
145,White,Female,7.4,80,0.537,2.3,91000,Region_C,0
146,White,Female,6.5,59,0.33,3.0,83000,Region_C,0
147,Black,Female,14.2,40,0.488,2.3,80000,Region_D,0
148,White,Male,2.1,68,0.321,3.1,54000,Region_C,0
149,White,Female,4.8,53,0.518,2.4,69000,Region_B,0
150,White,Male,17.2,91,0.704,8.0,162000,Region_C,1
151,Asian,Female,0.6,61,0.302,2.9,49000,Region_A,0
152,White,Male,0.5,71,0.228,0.5,43000,Region_D,0
153,White,Male,2.1,75,0.251,1.7,63000,Region_A,0
154,White,Male,8.0,76,0.62,6.1,103000,Region_D,1
155,Asian,Female,2.2,66,0.719,4.4,60000,Region_D,0
156,White,Male,1.7,51,0.294,1.4,53000,Region_C,0
