applicant_id,race,gender,years_experience,interview_score,skills_match,previous_tenure,salary_requested,location_region,hired
3152,White,Male,4.8,50,0.773,0.5,67000,Region_B,0
1203,White,Female,14.0,65,0.619,6.9,128000,Region_A,1
9187,Black,Female,3.5,30,0.158,0.7,38000,Region_B,0
2920,White,Male,10.3,76,0.31,1.8,102000,Region_C,1
4108,White,Male,6.4,74,0.242,1.2,87000,Region_B,0
2148,White,Male,7.4,88,0.553,2.5,87000,Region_C,1
3001,Black,Female,4.1,30,0.544,7.7,45000,Region_D,0
9421,Asian,Female,7.7,66,0.467,0.5,76000,Region_A,0
8616,Asian,Female,0.6,37,0.568,6.0,35000,Region_A,0
7740,White,Male,1.1,65,0.307,0.5,50000,Region_A,0
1038,Black,Male,1.4,33,0.122,1.7,40000,Region_C,0
2505,White,Male,3.6,62,0.284,1.1,57000,Region_D,0
9451,White,Male,4.4,77,0.637,1.0,63000,Region_D,1
1426,Asian,Male,12.3,91,0.215,0.5,127000,Region_B,1
1114,White,Male,0.6,69,0.629,6.6,52000,Region_D,0
1884,Hispanic,Male,6.6,55,0.454,0.5,66000,Region_D,0
3744,White,Female,1.8,48,0.181,2.6,41000,Region_C,0
6186,Hispanic,Female,1.9,30,0.1,0.5,41000,Region_D,0
7188,White,Female,17.4,62,0.644,3.0,136000,Region_A,1
1539,White,Female,4.4,72,0.612,1.7,77000,Region_A,0
2951,Hispanic,Male,3.3,53,0.527,0.5,63000,Region_B,0
7228,White,Female,0.5,56,0.1,2.0,38000,Region_A,0
7230,White,Male,35.0,100,0.837,4.9,250000,Region_B,1
6165,White,Male,3.2,57,0.248,4.2,65000,Region_C,0
1513,Asian,Female,1.3,54,0.1,1.6,46000,Region_D,0
8459,Asian,Male,7.6,73,0.141,6.1,95000,Region_D,0
5472,White,Female,5.2,69,0.176,2.3,67000,Region_A,0
18,White,Male,28.7,86,0.393,2.3,213000,Region_A,1
2743,White,Male,8.7,56,0.751,0.8,73000,Region_C,1
2359,White,Male,35.0,100,0.636,4.0,250000,Region_A,1
4791,White,Male,2.3,58,0.429,0.9,56000,Region_B,0
3403,Asian,Male,6.2,67,0.848,7.2,72000,Region_A,1
1307,Black,Female,0.7,30,0.1,2.7,35000,Region_A,0
9067,White,Male,3.4,83,0.338,3.6,65000,Region_C,0
9308,Black,Male,6.3,44,0.264,13.2,63000,Region_B,1
26,Hispanic,Male,3.3,50,0.552,3.6,61000,Region_B,0
2514,White,Male,14.4,75,0.167,1.1,121000,Region_A,0
1803,White,Male,5.0,61,0.665,0.5,67000,Region_C,1
6833,White,Female,3.4,42,0.113,1.0,51000,Region_D,0
6859,Asian,Female,2.8,50,0.448,4.9,51000,Region_B,0
4966,White,Female,8.0,60,0.322,0.5,75000,Region_B,0
5109,Hispanic,Female,14.6,36,0.421,1.8,95000,Region_B,0
3731,White,Male,18.1,91,0.716,0.5,188000,Region_A,1
8481,White,Male,0.5,69,0.272,5.8,54000,Region_A,0
8774,White,Female,0.8,73,0.265,4.7,59000,Region_D,0
1055,Asian,Female,6.2,56,0.292,5.3,77000,Region_A,0
7284,Black,Female,4.0,30,0.534,1.6,39000,Region_B,0
7738,White,Male,6.3,63,0.266,4.0,79000,Region_D,0
8976,White,Female,0.6,58,0.209,4.6,49000,Region_C,0
7373,White,Male,1.2,39,0.174,8.6,43000,Region_B,0
8266,White,Female,3.0,32,0.388,0.8,47000,Region_B,0
8738,White,Male,14.1,75,0.506,1.7,143000,Region_A,1
1344,Black,Female,4.8,30,0.155,0.5,55000,Region_D,0
2287,Asian,Female,12.5,56,0.553,2.7,87000,Region_A,0
5091,White,Male,6.6,54,0.381,1.7,74000,Region_D,0
2677,White,Male,3.5,61,0.103,2.0,52000,Region_B,0
8912,Hispanic,Female,0.2,41,0.363,0.5,35000,Region_B,0
9371,Hispanic,Male,15.4,65,0.837,0.8,136000,Region_B,1
4350,Black,Male,5.4,35,0.416,0.5,51000,Region_D,0
5533,Black,Female,2.7,30,0.46,0.5,46000,Region_B,0
5414,White,Male,3.9,64,0.314,1.0,57000,Region_B,0
8036,White,Female,3.5,52,0.424,2.9,62000,Region_D,0
7392,White,Female,14.5,55,0.432,3.3,98000,Region_A,0
5970,Hispanic,Female,17.6,57,0.49,0.9,123000,Region_D,0
3206,Hispanic,Female,7.8,52,0.51,0.5,81000,Region_B,0
9768,Hispanic,Male,8.3,56,0.247,6.5,77000,Region_B,0
8763,White,Male,18.8,81,0.46,8.0,177000,Region_C,1
3634,White,Female,5.5,38,0.322,3.8,53000,Region_C,0
7964,White,Male,0.2,67,0.45,2.0,45000,Region_A,0
8207,White,Female,2.2,51,0.516,0.5,55000,Region_A,0
6875,Hispanic,Male,0.3,52,0.494,0.5,38000,Region_D,0
2504,Asian,Female,15.4,54,0.641,0.5,116000,Region_A,0
7064,Hispanic,Male,5.3,30,0.506,1.4,56000,Region_B,0
528,White,Male,33.9,91,0.617,10.8,250000,Region_B,1
1300,Black,Male,3.3,30,0.107,0.6,41000,Region_D,0
3772,Asian,Female,2.9,57,0.326,2.7,61000,Region_D,0
584,White,Female,1.8,53,0.177,0.5,50000,Region_C,0
5915,White,Female,33.3,78,0.774,0.9,240000,Region_D,1
4741,Black,Female,1.9,30,0.514,0.5,39000,Region_B,0
5444,Asian,Female,3.3,64,0.1,3.6,61000,Region_A,0
7004,Hispanic,Male,2.5,41,0.234,3.5,50000,Region_B,0
4952,White,Male,23.7,76,0.871,11.6,185000,Region_D,1
5848,Black,Female,0.1,30,0.1,0.8,35000,Region_B,0
3679,Hispanic,Male,13.9,70,0.232,3.0,104000,Region_B,1
4242,White,Female,4.4,48,0.289,0.5,63000,Region_B,0
2217,Hispanic,Male,0.4,38,0.1,0.5,38000,Region_B,0
9885,White,Female,1.1,48,0.119,4.4,44000,Region_B,0
1737,White,Female,2.8,44,0.412,4.4,47000,Region_C,0
431,White,Male,19.6,100,0.356,4.1,194000,Region_A,1
1325,Asian,Female,8.6,60,0.664,0.7,76000,Region_C,0
3550,White,Male,4.8,75,0.117,6.7,71000,Region_C,0
3795,White,Female,1.5,56,0.552,3.3,42000,Region_B,0
3812,White,Male,5.8,51,0.135,0.8,61000,Region_A,0
8429,White,Male,3.9,66,0.441,1.9,65000,Region_B,0
6786,Hispanic,Female,0.8,34,0.372,0.5,35000,Region_B,0
9620,White,Female,5.5,42,0.499,0.5,53000,Region_A,0
4199,White,Female,0.4,53,0.1,1.7,38000,Region_B,0
7309,Hispanic,Male,15.4,60,0.533,1.4,127000,Region_D,0
7952,White,Male,5.9,55,0.365,9.7,74000,Region_B,0
8226,White,Male,7.4,49,0.39,0.5,69000,Region_A,0
9597,White,Female,1.0,78,0.276,1.7,54000,Region_C,0
5202,Asian,Male,5.2,61,0.457,0.9,73000,Region_B,0
3506,Black,Female,1.3,46,0.527,0.5,40000,Region_D,0
9223,White,Female,1.6,49,0.305,1.1,46000,Region_A,0
5843,White,Male,23.0,99,0.821,0.5,230000,Region_B,1
1088,White,Female,14.4,67,0.823,7.4,115000,Region_C,1
3686,White,Male,2.6,66,0.632,15.1,65000,Region_A,1
4038,Hispanic,Male,0.4,46,0.1,2.2,36000,Region_C,0
3163,White,Male,12.9,88,0.313,6.6,150000,Region_C,1
6199,White,Female,17.9,85,0.708,0.5,174000,Region_B,1
105,Asian,Female,7.1,64,0.926,0.5,88000,Region_C,1
328,Black,Male,8.9,48,0.343,0.9,88000,Region_B,0
5106,White,Female,21.3,56,0.384,4.0,144000,Region_C,1
7089,White,Male,2.4,78,0.345,0.5,62000,Region_A,0
333,White,Male,11.6,71,0.502,6.6,114000,Region_A,1
5597,White,Male,1.3,53,0.46,1.4,51000,Region_C,0
2065,White,Female,8.9,70,0.459,5.3,98000,Region_C,1
5207,Hispanic,Female,3.8,35,0.221,0.5,48000,Region_B,0
2903,White,Male,20.8,98,0.627,5.6,195000,Region_D,1
9811,White,Male,4.3,69,0.468,2.2,75000,Region_D,0
4643,Hispanic,Female,1.9,30,0.341,6.6,38000,Region_A,0
6135,White,Male,1.0,62,0.1,2.1,48000,Region_A,0
766,White,Female,1.9,62,0.522,1.8,49000,Region_D,0
8496,Asian,Female,9.7,67,0.441,6.6,104000,Region_A,1
7103,Asian,Female,1.9,68,0.261,0.7,56000,Region_B,0
7713,White,Female,1.1,55,0.538,1.9,42000,Region_A,0
4554,Hispanic,Female,2.1,42,0.32,0.5,38000,Region_B,0
1102,Asian,Female,0.4,59,0.27,1.8,48000,Region_C,0
6549,White,Male,14.2,90,0.434,8.3,157000,Region_B,1
3060,Asian,Male,1.1,62,0.1,1.3,51000,Region_A,0
3623,White,Female,3.2,65,0.249,0.7,67000,Region_A,0
990,Hispanic,Female,4.0,30,0.197,0.5,52000,Region_D,0
9840,Hispanic,Female,8.6,44,0.438,3.3,68000,Region_D,0
9190,Hispanic,Female,0.9,48,0.532,0.6,38000,Region_D,0
3917,Black,Female,4.3,45,0.165,4.6,58000,Region_D,0
4289,White,Female,3.0,49,0.391,5.1,54000,Region_B,0
4656,White,Female,1.4,59,0.292,0.7,45000,Region_A,0
5510,White,Male,13.3,67,0.654,0.8,106000,Region_A,0
6391,White,Male,33.9,100,0.904,1.2,250000,Region_A,1
5255,Hispanic,Female,1.8,45,0.193,0.5,39000,Region_D,0
3465,White,Female,1.6,48,0.391,1.6,46000,Region_A,0
8140,White,Female,0.4,39,0.322,1.8,42000,Region_A,0
3546,White,Female,4.0,54,0.593,2.5,65000,Region_C,0
558,White,Female,8.1,65,0.373,4.3,93000,Region_A,0
4467,White,Male,7.0,51,0.449,0.5,78000,Region_B,0
5101,White,Male,1.5,66,0.507,1.2,49000,Region_C,0
7534,White,Female,3.1,68,0.445,4.1,54000,Region_D,0
300,White,Female,0.6,48,0.596,2.0,39000,Region_A,0
7082,Hispanic,Female,12.4,51,0.288,2.9,90000,Region_A,0
5261,White,Female,5.3,49,0.212,4.4,57000,Region_C,0
3532,Hispanic,Male,23.1,65,0.726,5.7,174000,Region_B,1
5011,White,Male,18.8,68,0.885,1.3,158000,Region_C,1
3871,White,Female,3.3,42,0.738,1.7,52000,Region_A,0
2197,White,Female,0.9,54,0.609,6.8,43000,Region_C,0
1589,White,Female,6.2,78,0.145,0.7,88000,Region_B,0
70,Asian,Female,6.5,75,0.549,0.5,78000,Region_A,0
5372,White,Female,11.0,89,0.626,1.6,117000,Region_B,1
7717,White,Male,15.3,72,0.414,1.4,115000,Region_A,1
2003,Asian,Male,5.3,67,0.436,1.7,74000,Region_B,0
3184,White,Male,1.6,64,0.343,2.4,47000,Region_C,0
4858,Asian,Female,0.8,41,0.705,1.3,35000,Region_A,0
1834,Hispanic,Female,35.0,67,0.616,0.5,233000,Region_B,1
1890,Asian,Male,1.6,94,0.1,0.8,74000,Region_C,1
1949,White,Male,7.7,60,0.409,3.7,75000,Region_D,0
9776,White,Male,25.4,100,0.711,0.9,205000,Region_C,1
9878,White,Male,11.9,65,0.561,3.0,120000,Region_D,1
7969,White,Male,8.5,70,0.91,0.5,101000,Region_C,1
2957,Black,Female,1.3,34,0.401,0.5,37000,Region_B,0
4749,White,Male,8.2,95,0.15,1.2,114000,Region_A,0
4443,White,Male,1.1,67,0.151,0.5,44000,Region_B,0
8014,White,Female,18.1,88,0.629,0.5,167000,Region_B,1
4434,Asian,Female,5.5,51,0.567,0.6,56000,Region_A,0
5773,White,Male,2.0,68,0.431,3.6,48000,Region_C,0
7109,Hispanic,Female,8.3,40,0.277,3.7,73000,Region_B,0
4219,Black,Male,12.2,55,0.336,0.5,83000,Region_D,0
4652,Black,Male,1.2,40,0.473,0.5,40000,Region_B,0
2369,White,Male,17.2,74,0.817,3.8,155000,Region_B,1
1540,White,Female,12.0,88,0.165,2.8,142000,Region_A,1
517,White,Female,2.6,40,0.148,1.2,44000,Region_B,0
9819,White,Male,3.8,42,0.328,4.0,49000,Region_B,0
7224,White,Female,1.0,42,0.272,0.5,42000,Region_A,0
7096,Black,Female,4.0,30,0.56,4.9,51000,Region_D,0
7801,White,Female,0.6,47,0.148,2.9,45000,Region_D,0
5686,Hispanic,Female,3.3,30,0.501,0.5,42000,Region_B,0
2530,Asian,Male,11.7,68,0.548,4.6,99000,Region_A,1
8679,White,Female,22.1,47,0.571,1.4,125000,Region_C,1
7322,White,Male,1.2,56,0.157,2.3,53000,Region_D,0
7329,White,Female,1.2,65,0.168,1.7,55000,Region_B,0
1290,White,Female,2.1,38,0.698,7.6,37000,Region_A,0
9030,White,Male,4.5,67,0.275,2.1,61000,Region_C,0
8517,Asian,Female,2.0,36,0.484,7.5,37000,Region_A,0
1966,Black,Male,21.2,61,0.735,0.5,133000,Region_D,1
3319,Hispanic,Female,4.8,46,0.15,0.5,54000,Region_D,0
3862,Black,Male,8.0,44,0.1,2.1,68000,Region_B,0
4748,White,Female,10.1,51,0.681,0.5,85000,Region_C,1
9195,Hispanic,Female,2.4,30,0.249,0.5,44000,Region_D,0
9846,White,Male,3.2,42,0.514,1.9,47000,Region_C,0
8023,Hispanic,Female,2.6,40,0.339,0.5,51000,Region_B,0
8699,White,Male,26.6,96,0.817,0.8,250000,Region_B,1
6623,White,Male,14.3,84,0.47,5.2,153000,Region_A,1
9325,White,Male,7.5,73,0.674,1.0,89000,Region_B,1
120,White,Female,3.1,50,0.241,5.4,55000,Region_D,0
9444,White,Male,8.7,75,0.542,2.4,86000,Region_D,1
9518,Black,Male,2.1,34,0.469,0.5,46000,Region_C,0
6217,White,Male,3.5,65,0.146,0.9,61000,Region_B,0
648,Black,Female,1.9,30,0.319,0.6,35000,Region_D,0
9200,White,Male,9.8,67,0.35,1.8,106000,Region_A,0
8320,White,Male,7.5,54,0.78,15.8,83000,Region_A,1
4991,Asian,Female,5.5,79,0.798,3.8,93000,Region_D,1
2400,Black,Male,6.1,51,0.308,1.0,72000,Region_B,0
2795,White,Male,15.0,95,0.557,2.9,165000,Region_B,1
2633,White,Male,33.9,100,0.86,1.6,250000,Region_B,1
2793,White,Female,3.8,77,0.315,2.1,77000,Region_B,0
849,White,Female,5.4,57,0.319,3.9,69000,Region_A,0
1375,White,Female,5.7,66,0.486,1.8,73000,Region_B,0
1162,White,Male,0.6,60,0.143,0.5,51000,Region_A,0
2775,White,Male,15.5,100,0.519,6.2,179000,Region_D,1
1635,Asian,Male,2.6,80,0.276,1.7,72000,Region_A,0
6645,White,Male,0.9,57,0.575,4.1,50000,Region_D,0
6259,Hispanic,Male,5.5,30,0.368,4.2,52000,Region_A,0
3909,White,Female,6.0,70,0.75,2.8,86000,Region_C,0
9657,Asian,Male,17.6,76,0.579,0.5,153000,Region_D,0
3555,White,Female,1.7,53,0.412,0.5,51000,Region_B,0
398,White,Female,3.8,33,0.584,0.9,51000,Region_B,0
1099,Hispanic,Female,3.8,36,0.289,0.5,50000,Region_B,0
2835,White,Male,0.8,68,0.221,2.1,54000,Region_B,0
8505,White,Female,1.8,46,0.268,4.8,51000,Region_C,0
7942,Black,Male,5.7,48,0.603,1.2,66000,Region_B,0
2195,White,Male,2.1,76,0.14,0.5,56000,Region_C,0
1854,Hispanic,Female,2.1,32,0.297,3.2,40000,Region_B,0
7604,Asian,Male,9.8,84,0.571,3.4,117000,Region_A,1
4700,Asian,Female,1.1,83,0.402,0.9,65000,Region_D,0
4460,White,Female,7.9,59,0.351,0.5,80000,Region_A,0
4059,Hispanic,Male,7.9,51,0.291,0.6,76000,Region_D,0
7735,White,Female,10.7,68,0.279,0.7,100000,Region_B,0
3345,White,Female,10.9,61,0.584,0.5,100000,Region_A,0
7747,White,Female,1.1,45,0.203,0.7,40000,Region_C,0
2821,Asian,Male,1.4,81,0.116,0.5,53000,Region_B,0
1770,White,Male,5.5,52,0.512,1.5,70000,Region_D,0
